project_id,record_date,reported_progress,financial_expenditure,status,data_status
SYN-PRJ-00009,2021-09-12,64.8,2832941.8,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00009,2021-11-11,88.9,3888888.9,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00009,2022-01-11,100.0,4375000.0,COMPLETED,SYNTHETIC
SYN-PRJ-00010,2024-10-24,26.1,690100.6,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00010,2024-12-15,73.9,1951899.4,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00010,2025-02-06,100.0,2642000.0,COMPLETED,SYNTHETIC
SYN-PRJ-00011,2021-12-30,8.3,227888.9,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00011,2022-03-10,26.3,722916.9,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00011,2022-05-19,48.2,1328083.1,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00011,2022-07-28,66.2,1823111.1,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00011,2022-10-06,74.5,2051000.0,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00012,2024-03-29,4.7,109702.9,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00012,2024-06-04,14.8,347678.8,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00012,2024-08-10,28.8,678059.3,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00012,2024-10-16,44.3,1043940.7,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00012,2024-12-22,58.3,1374321.2,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00012,2025-02-27,68.4,1612297.1,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00012,2025-05-05,73.1,1722000.0,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00013,2023-11-16,16.1,399441.4,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00013,2024-01-23,50.0,1237500.0,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00013,2024-03-31,83.9,2075558.6,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00013,2024-06-07,100.0,2475000.0,COMPLETED,SYNTHETIC
SYN-PRJ-00014,2024-03-09,6.8,556635.8,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00014,2024-05-21,21.1,1724500.0,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00014,2024-08-02,35.4,2892364.2,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00014,2024-10-14,42.2,3449000.0,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00015,2024-03-29,18.5,143400.9,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00015,2024-06-14,52.4,405599.1,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00015,2024-08-31,70.9,549000.0,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00016,2021-10-06,6.4,238263.0,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00016,2021-12-08,20.2,755121.2,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00016,2022-02-10,39.4,1472672.4,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00016,2022-04-14,60.6,2267327.6,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00016,2022-06-17,79.8,2984878.8,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00016,2022-08-19,93.6,3501737.0,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00016,2022-10-22,100.0,3740000.0,COMPLETED,SYNTHETIC
SYN-PRJ-00017,2023-08-23,8.2,62641.9,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00017,2023-10-31,26.1,199298.6,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00017,2024-01-08,50.0,381500.0,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00017,2024-03-17,73.9,563701.4,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00017,2024-05-25,91.8,700358.1,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00017,2024-08-02,100.0,763000.0,COMPLETED,SYNTHETIC
SYN-PRJ-00018,2022-01-22,26.1,129034.7,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00018,2022-04-11,73.9,364965.3,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00018,2022-06-29,100.0,494000.0,COMPLETED,SYNTHETIC
SYN-PRJ-00019,2023-08-18,26.1,337736.6,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00019,2023-11-03,73.9,955263.4,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00019,2024-01-19,100.0,1293000.0,COMPLETED,SYNTHETIC
SYN-PRJ-00020,2024-11-25,12.6,286790.9,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00020,2025-01-27,39.1,888500.0,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00020,2025-03-31,65.7,1490209.1,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00020,2025-06-02,78.3,1777000.0,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00021,2022-08-11,4.2,148090.7,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00021,2022-10-10,13.2,463572.6,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00021,2022-12-10,26.1,913952.4,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00021,2023-02-08,41.7,1459411.1,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00021,2023-04-10,58.3,2039588.9,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00021,2023-06-09,73.9,2585047.6,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00021,2023-08-09,86.8,3035427.4,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00021,2023-10-08,95.8,3350909.3,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00021,2023-12-08,100.0,3499000.0,COMPLETED,SYNTHETIC
SYN-PRJ-00022,2022-11-20,3.6,65500.0,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00022,2023-01-29,11.1,203777.8,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00022,2023-04-09,21.9,401820.6,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00022,2023-06-18,35.2,646430.8,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00022,2023-08-27,50.0,917000.0,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00022,2023-11-05,64.8,1187569.2,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00022,2024-01-14,78.1,1432179.4,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00022,2024-03-24,88.9,1630222.2,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00022,2024-06-02,96.4,1768500.0,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00022,2024-08-11,100.0,1834000.0,COMPLETED,SYNTHETIC
SYN-PRJ-00023,2023-02-20,26.1,747304.3,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00023,2023-05-04,73.9,2113695.7,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00023,2023-07-17,100.0,2861000.0,COMPLETED,SYNTHETIC
SYN-PRJ-00024,2021-11-30,26.1,251800.5,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00024,2022-02-05,73.9,712199.5,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00024,2022-04-13,100.0,964000.0,COMPLETED,SYNTHETIC
SYN-PRJ-00025,2022-06-17,5.1,137805.5,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00025,2022-08-21,16.1,434140.4,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00025,2022-10-25,31.7,853519.2,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00025,2022-12-29,50.0,1345000.0,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00025,2023-03-04,68.3,1836480.8,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00025,2023-05-08,83.9,2255859.6,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00025,2023-07-12,94.9,2552194.5,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00025,2023-09-16,100.0,2690000.0,COMPLETED,SYNTHETIC
SYN-PRJ-00026,2021-10-05,16.1,191731.9,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00026,2021-12-09,50.0,594000.0,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00026,2022-02-11,83.9,996268.1,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00026,2022-04-17,100.0,1188000.0,COMPLETED,SYNTHETIC
SYN-PRJ-00027,2024-08-29,11.1,157444.4,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00027,2024-10-31,35.2,499450.6,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00027,2025-01-02,64.8,917549.4,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00027,2025-03-06,88.9,1259555.6,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00027,2025-05-08,100.0,1417000.0,COMPLETED,SYNTHETIC
SYN-PRJ-00028,2022-04-16,8.2,351468.0,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00028,2022-06-23,26.1,1118213.8,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00028,2022-08-30,50.0,2140500.0,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00028,2022-11-06,73.9,3162786.2,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00028,2023-01-13,91.8,3929532.0,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00028,2023-03-23,100.0,4281000.0,COMPLETED,SYNTHETIC
SYN-PRJ-00029,2024-04-05,20.5,161424.0,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00029,2024-05-17,58.0,456576.0,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00029,2024-06-28,78.5,618000.0,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00030,2021-05-05,7.6,133285.7,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00030,2021-07-09,15.2,266571.4,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00030,2021-09-12,21.3,399857.1,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00030,2021-11-17,21.3,533142.9,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00030,2022-01-21,21.3,666428.6,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00030,2022-03-27,21.3,799714.3,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00030,2022-06-01,21.3,933000.0,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00031,2024-01-21,26.1,138438.1,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00031,2024-03-31,73.9,391561.9,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00031,2024-06-10,100.0,530000.0,COMPLETED,SYNTHETIC
SYN-PRJ-00032,2023-09-11,17.1,33172.9,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00032,2023-11-12,48.3,93827.1,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00032,2024-01-13,65.4,127000.0,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00033,2021-11-11,11.1,425444.4,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00033,2022-01-16,35.2,1349609.3,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00033,2022-03-23,64.8,2479390.7,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00033,2022-05-28,88.9,3403555.6,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00033,2022-08-02,100.0,3829000.0,COMPLETED,SYNTHETIC
SYN-PRJ-00034,2021-09-27,7.7,38572.3,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00034,2021-11-28,23.9,119500.0,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00034,2022-01-28,40.0,200427.7,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00034,2022-03-31,47.7,239000.0,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00035,2023-04-26,16.1,557926.9,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00035,2023-07-04,50.0,1728500.0,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00035,2023-09-10,83.9,2899073.1,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00035,2023-11-18,100.0,3457000.0,COMPLETED,SYNTHETIC
SYN-PRJ-00036,2022-12-25,26.1,192768.5,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00036,2023-03-05,73.9,545231.5,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00036,2023-05-14,100.0,738000.0,COMPLETED,SYNTHETIC
SYN-PRJ-00037,2024-05-09,6.4,276678.2,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00037,2024-07-11,20.2,876869.4,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00037,2024-09-12,39.4,1710111.3,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00037,2024-11-14,60.6,2632888.7,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00037,2025-01-16,79.8,3466130.6,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00037,2025-03-20,93.6,4066321.8,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00037,2025-05-22,100.0,4343000.0,COMPLETED,SYNTHETIC
SYN-PRJ-00038,2022-03-28,16.1,684779.8,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00038,2022-06-02,50.0,2121500.0,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00038,2022-08-07,83.9,3558220.2,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00038,2022-10-12,100.0,4243000.0,COMPLETED,SYNTHETIC
SYN-PRJ-00039,2022-02-04,26.1,214187.2,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00039,2022-04-08,73.9,605812.8,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00039,2022-06-10,100.0,820000.0,COMPLETED,SYNTHETIC
SYN-PRJ-00040,2023-08-06,5.1,109937.1,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00040,2023-10-10,16.1,346344.0,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00040,2023-12-14,31.7,680911.6,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00040,2024-02-18,50.0,1073000.0,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00040,2024-04-23,68.3,1465088.4,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00040,2024-06-27,83.9,1799656.0,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00040,2024-08-31,94.9,2036062.9,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00040,2024-11-05,100.0,2146000.0,COMPLETED,SYNTHETIC
SYN-PRJ-00041,2023-05-12,11.8,155677.5,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00041,2023-06-20,33.4,440322.5,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00041,2023-07-29,45.2,596000.0,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00042,2021-12-05,11.1,196888.9,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00042,2022-02-04,35.2,624577.6,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00042,2022-04-05,64.8,1147422.4,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00042,2022-06-05,88.9,1575111.1,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00042,2022-08-05,100.0,1772000.0,COMPLETED,SYNTHETIC
SYN-PRJ-00043,2021-08-27,6.4,235969.6,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00043,2021-10-31,20.2,747852.7,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00043,2022-01-05,39.4,1458497.0,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00043,2022-03-11,60.6,2245503.0,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00043,2022-05-16,79.8,2956147.3,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00043,2022-07-20,93.6,3468030.4,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00043,2022-09-24,100.0,3704000.0,COMPLETED,SYNTHETIC
SYN-PRJ-00044,2023-04-02,3.6,29107.1,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00044,2023-06-08,11.1,90555.6,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00044,2023-08-13,21.9,178562.6,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00044,2023-10-19,35.2,287263.4,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00044,2023-12-25,50.0,407500.0,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00044,2024-02-29,64.8,527736.6,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00044,2024-05-06,78.1,636437.4,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00044,2024-07-11,88.9,724444.4,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00044,2024-09-16,96.4,785892.9,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00044,2024-11-22,100.0,815000.0,COMPLETED,SYNTHETIC
SYN-PRJ-00045,2022-03-02,3.6,29750.0,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00045,2022-05-09,11.1,92555.6,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00045,2022-07-15,21.9,182506.3,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00045,2022-09-21,35.2,293607.9,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00045,2022-11-27,50.0,416500.0,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00045,2023-02-03,64.8,539392.1,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00045,2023-04-11,78.1,650493.7,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00045,2023-06-18,88.9,740444.4,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00045,2023-08-24,96.4,803250.0,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00045,2023-10-31,100.0,833000.0,COMPLETED,SYNTHETIC
SYN-PRJ-00046,2022-03-11,16.1,438013.8,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00046,2022-05-15,50.0,1357000.0,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00046,2022-07-19,83.9,2275986.2,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00046,2022-09-22,100.0,2714000.0,COMPLETED,SYNTHETIC
SYN-PRJ-00047,2022-11-30,5.1,166954.8,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00047,2023-02-03,16.1,525971.6,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00047,2023-04-09,31.7,1034059.1,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00047,2023-06-13,50.0,1629500.0,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00047,2023-08-16,68.3,2224940.9,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00047,2023-10-20,83.9,2733028.4,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00047,2023-12-24,94.9,3092045.2,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00047,2024-02-27,100.0,3259000.0,COMPLETED,SYNTHETIC
SYN-PRJ-00048,2024-07-20,4.2,113046.6,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00048,2024-09-24,13.2,353873.2,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00048,2024-11-29,26.1,697675.6,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00048,2025-02-03,41.7,1114057.4,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00048,2025-04-10,58.3,1556942.6,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00048,2025-06-15,73.9,1973324.4,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00048,2025-08-20,86.8,2317126.8,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00048,2025-10-25,95.8,2557953.4,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00048,2025-12-30,100.0,2671000.0,COMPLETED,SYNTHETIC
SYN-PRJ-00049,2022-01-29,11.1,133333.3,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00049,2022-04-11,35.2,422964.5,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00049,2022-06-22,64.8,777035.5,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00049,2022-09-02,88.9,1066666.7,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00049,2022-11-13,100.0,1200000.0,COMPLETED,SYNTHETIC
SYN-PRJ-00050,2023-04-13,26.1,414530.5,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00050,2023-06-07,73.9,1172469.5,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00050,2023-08-02,100.0,1587000.0,COMPLETED,SYNTHETIC
SYN-PRJ-00051,2024-12-07,26.1,473823.8,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00051,2025-02-23,73.9,1340176.2,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00051,2025-05-12,100.0,1814000.0,COMPLETED,SYNTHETIC
SYN-PRJ-00052,2024-04-14,26.1,214970.8,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00052,2024-05-26,73.9,608029.2,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00052,2024-07-07,100.0,823000.0,COMPLETED,SYNTHETIC
SYN-PRJ-00053,2022-03-26,6.0,247858.4,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00053,2022-05-31,19.1,788574.5,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00053,2022-08-06,36.6,1509500.0,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00053,2022-10-11,54.2,2230425.5,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00053,2022-12-16,67.3,2771141.6,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00053,2023-02-21,73.3,3019000.0,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00054,2023-02-10,5.1,61474.6,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00054,2023-04-18,16.1,193668.6,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00054,2023-06-24,31.7,380752.0,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00054,2023-08-30,50.0,600000.0,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00054,2023-11-05,68.3,819248.0,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00054,2024-01-11,83.9,1006331.4,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00054,2024-03-18,94.9,1138525.4,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00054,2024-05-24,100.0,1200000.0,COMPLETED,SYNTHETIC
SYN-PRJ-00055,2022-10-21,4.2,147413.5,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00055,2022-12-21,13.2,461452.8,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00055,2023-02-20,26.1,909773.1,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00055,2023-04-22,41.7,1452737.6,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00055,2023-06-23,58.3,2030262.4,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00055,2023-08-23,73.9,2573226.9,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00055,2023-10-23,86.8,3021547.2,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00055,2023-12-23,95.8,3335586.5,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00055,2024-02-23,100.0,3483000.0,COMPLETED,SYNTHETIC
SYN-PRJ-00056,2023-05-09,16.1,169137.2,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00056,2023-07-10,50.0,524000.0,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00056,2023-09-10,83.9,878862.8,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00056,2023-11-12,100.0,1048000.0,COMPLETED,SYNTHETIC
SYN-PRJ-00057,2024-02-05,11.8,175431.4,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00057,2024-04-06,36.6,543500.0,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00057,2024-06-05,61.4,911568.6,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00057,2024-08-05,73.2,1087000.0,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00058,2021-07-04,26.1,209485.5,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00058,2021-09-04,73.9,592514.5,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00058,2021-11-05,100.0,802000.0,COMPLETED,SYNTHETIC
SYN-PRJ-00059,2022-10-25,16.1,687684.8,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00059,2022-12-26,50.0,2130500.0,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00059,2023-02-25,83.9,3573315.2,IN_PROGRESS,SYNTHETIC
